Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6cHHrFD3fmBG9MR3k8kvep,"Tu Con El","Nacimiento Y Recuerdos","Frankie Ruiz",1998-01-01,302373,72,false,rawcliffe.isaac,2026-06-20T20:13:08Z,"salsa,merengue","Universal Music Latino.",0.834,0.725,7,-7.766,1,0.056,0.287,0.000296,0.282,0.964,95.406,4
spotify:track:07MGXxzTNfeJzZMn2OFhWX,"Toro Mata - Remastered 2024","Celia & Johnny (Remastered 2024)","Celia Cruz;Johnny Pacheco",1974-01-01,342264,48,false,rawcliffe.isaac,2026-06-20T20:13:46Z,"salsa,son cubano,bolero,cha cha cha,merengue,mambo,latin jazz,latin,latin dance","Craft Recordings",0.555,0.4,11,-12.408,0,0.0749,0.709,0.000624,0.28,0.918,114.011,4
spotify:track:3WBNV3cpWfGXF7loErZ5pA,"Que Locura Enamorarme De Ti","Rodven Clasico: Eddie Santiago: Atrevido Y Diferente","Eddie Santiago",1986-01-01,308040,69,false,rawcliffe.isaac,2026-07-01T12:44:09Z,"salsa,merengue","Int'l Other",0.742,0.783,1,-7.284,1,0.0412,0.544,0.0000157,0.0674,0.969,93.632,4
spotify:track:2HbmLkHkkI15eES8kpWRuI,"Ven Devórame Otra Vez","Oro Salsero","Lalo Rodriguez",1994-01-01,311400,75,false,rawcliffe.isaac,2026-07-01T12:54:33Z,"salsa,merengue","Universal Special Markets",0.643,0.602,5,-9.28,0,0.0438,0.667,0.0000862,0.276,0.961,83.778,4
spotify:track:0FsXZAMf6NACvNJ2LI6ySp,"Deseándote","Frankie Ruiz La Leyenda","Frankie Ruiz",1999-01-01,281333,68,false,rawcliffe.isaac,2026-07-01T14:18:45Z,"salsa,merengue","Digital",0.576,0.782,5,-7.217,0,0.0404,0.341,0,0.225,0.899,97.254,4
